candidate_id,module_path,artifact_selector,mapping_status,notes
RCM-07196,.,main,D1_VERIFIED_JAR,maven-artifact-plugin-3.6.0.jar
RCM-07254,.,main,D1_VERIFIED_JAR,maven-dependency-plugin-3.7.1.jar
RCM-07268,.,main,D1_VERIFIED_JAR,maven-docck-plugin-1.2.jar
RCM-07273,.,main,D1_VERIFIED_JAR,maven-ejb-plugin-3.1.0.jar
RCM-07351,.,main,D1_VERIFIED_JAR,maven-patch-plugin-1.3.jar
RCM-07408,.,main,D1_VERIFIED_JAR,maven-remote-resources-plugin-3.3.0.jar
RCM-07480,maven-wrapper,main,D1_VERIFIED_JAR,maven-wrapper-3.3.3.jar
RCM-07516,.,main,D1_VERIFIED_JAR,maven-reporting-api-4.0.0-M1.jar
RCM-07533,.,main,D1_VERIFIED_JAR,maven-reporting-exec-2.0.0-M1.jar
RCM-07567,.,main,D1_VERIFIED_JAR,maven-resolver-ant-tasks-1.5.2.jar
RCM-07660,.,main,D1_VERIFIED_JAR,maven-archiver-4.0.0-beta-4.jar
RCM-07668,.,main,D1_VERIFIED_JAR,maven-common-artifact-filters-3.4.0.jar
RCM-07697,.,main,D1_VERIFIED_JAR,maven-invoker-3.3.0.jar
RCM-07711,.,main,D1_VERIFIED_JAR,maven-shared-resources-6.jar
RCM-07714,.,main,D1_VERIFIED_JAR,maven-shared-utils-3.4.2.jar
RCM-07997,qpid-jms-client,main,D1_VERIFIED_JAR,qpid-jms-client-2.9.0.jar
RCM-08094,.,main,D1_VERIFIED_JAR,feature-launcher-maven-plugin-1.0.4.jar
RCM-08095,.,main,D1_VERIFIED_JAR,htl-maven-plugin-2.0.4-1.4.0.jar
RCM-08673,.,main,D1_VERIFIED_JAR,slingfeature-maven-plugin-1.6.6.jar
RCM-08863,xmlschema-core,main,D1_VERIFIED_JAR,xmlschema-core-2.3.2.jar
RCM-08872,.,main,D1_VERIFIED_JAR,brick-control-lab-0.2.2.jar
RCM-08879,.,main,D1_VERIFIED_JAR,test.check-1.1.3.jar
RCM-09033,.,main,D1_VERIFIED_JAR,versions-maven-plugin-2.13.0.jar
RCM-09227,core,main,D1_VERIFIED_JAR,complate-core-0.3.0.jar
RCM-09229,.,main,D1_VERIFIED_JAR,complate-spring-mvc-0.7.0.jar
RCM-10001,pomchecker-cli,main,D1_VERIFIED_JAR,pomchecker-1.14.0.jar
RCM-10060,.,main,D1_VERIFIED_JAR,community-connectors-1.0.21.jar
RCM-10061,.,main,D1_VERIFIED_JAR,ipmi-java-1.2.01.jar
RCM-10075,.,main,D1_VERIFIED_JAR,printf4j-0.9.08.jar
RCM-10080,.,main,D1_VERIFIED_JAR,ssh-java-1.0.03.jar
RCM-10088,.,main,D1_VERIFIED_JAR,wmi-java-1.0.05.jar
RCM-10089,.,main,D1_VERIFIED_JAR,xflat-1.0.02.jar
RCM-10104,.,main,D1_VERIFIED_JAR,mybatis-caffeine-1.1.0.jar
RCM-10140,.,main,D1_VERIFIED_JAR,mybatis-dynamic-sql-1.5.0.jar
RCM-10193,.,main,D1_VERIFIED_JAR,mybatis-spring-3.0.1.jar
RCM-10355,core,main,D1_VERIFIED_JAR,dependency-check-core-7.4.4.jar
RCM-10386,phoebus-product,main,D1_VERIFIED_JAR,product-5.0.2.jar
RCM-10400,.,main,D1_VERIFIED_JAR,ipmi-1.0.01.jar
RCM-10418,.,main,D1_VERIFIED_JAR,maven-skin-tools-1.2.00.jar
RCM-10460,.,main,D1_VERIFIED_JAR,printf4j-0.9.05.jar
RCM-10527,.,main,D1_VERIFIED_JAR,sign-maven-plugin-1.0.1.jar
RCM-10605,.,main,D1_VERIFIED_JAR,bootstrap-5.2.2.jar
RCM-10638,.,main,D1_VERIFIED_JAR,flexmonster-2.9.35.jar
RCM-10720,.,main,D1_VERIFIED_JAR,highcharts-12.1.0.jar
RCM-10724,.,main,D1_VERIFIED_JAR,jquery-ui-1.14.1.jar
RCM-10726,.,main,D1_VERIFIED_JAR,jszip-3.10.1.jar
RCM-10787,.,main,D1_VERIFIED_JAR,webjars-locator-lite-0.0.1.jar
RCM-10866,.,main,D1_VERIFIED_JAR,jackson-core-3.1.2.jar
RCM-10986,.,main,D1_VERIFIED_JAR,jackson-datatype-joda-3.1.2.jar
RCM-11024,jsr-353,main,D1_VERIFIED_JAR,jackson-datatype-jsr353-3.0.0-rc7.jar
