candidate_id,module_path,artifact_selector,mapping_status,notes
RCM-05731,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-06953,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-06071,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-09423,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07917,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-06816,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-10061,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-10001,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-00045,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-02177,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-09593,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-06479,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-05509,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-10080,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-02631,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-02117,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07151,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07533,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-01041,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-00711,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-10400,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-10418,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-10720,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-00007,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-03935,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-10075,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07997,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-08939,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-01449,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-03465,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-05589,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07254,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-06788,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-03779,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-09436,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-10605,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-01341,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-10060,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
