candidate_id,module_path,artifact_selector,mapping_status,notes
RCM-02659,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-01818,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-06908,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08168,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-01700,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-01988,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-01432,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08164,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-02353,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08064,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-05906,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08538,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08261,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-02615,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-04810,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08392,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-01853,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-09937,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-09702,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-01909,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-06961,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-04691,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-04414,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-01825,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-08651,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-09316,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-07923,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-06833,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-02523,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
RCM-07375,.,auto,PROVISIONAL_ROOT,Batch 2 root D1 validation
